0 25
1 29
2 30
3 26
4 29
5 25
6 32
7 28
8 25
9 30
10 22
11 24
12 37
13 25
14 30
15 27
16 29
17 33
18 20
19 28
20 30
21 19
22 33
23 18
24 23
25 21
26 22
27 24
28 28
29 25
30 21
31 27
32 28
33 21
34 22
35 28
36 26
37 28
38 25
39 23
40 24
41 24
42 27
43 24
44 20
45 22
46 24
47 27
48 30
49 23
50 26
51 20
52 29
53 25
54 26
55 23
56 18
57 20
58 20
59 23
60 24
61 22
62 21
63 18
64 21
65 29
66 27
67 25
68 19
69 23
70 26
71 26
72 28
73 18
74 20
75 17
76 26
77 23
78 28
79 31
80 27
81 21
82 22
83 27
84 28
85 22
86 26
87 23
88 22
89 26
90 27
91 29
92 29
93 20
94 22
95 25
96 20
97 17
98 26
99 26
